model_type,resnet18
seed,1
cutshift,False
featuregroup,False
dataset,cifar100
momentum,0.9
lr,0.25
mix_prob,1.0
featureshift,False
lr_decay,0.0001
epochs,250
featuremix,False
resume,False
beta,1.0
cutmix,True
batch_size,64

epoch,train_loss,train_acc,test_loss,test_acc
0,3403.589455127716,0.04522,"tensor(3.6731, device='cuda:0')",0.0999
1,3163.4743008613586,0.09368,"tensor(3.9448, device='cuda:0')",0.1571
2,2993.289452791214,0.1374,"tensor(3.3139, device='cuda:0')",0.2159
3,2802.997321128845,0.18082,"tensor(2.2872, device='cuda:0')",0.3161
4,2651.865425825119,0.22534,"tensor(2.7350, device='cuda:0')",0.3482
5,2541.811562538147,0.25846,"tensor(2.2874, device='cuda:0')",0.3733
6,2478.3925689458847,0.27798,"tensor(2.1136, device='cuda:0')",0.3684
7,2428.1583054065704,0.29142,"tensor(1.7138, device='cuda:0')",0.4383
8,2363.497534275055,0.31378,"tensor(2.2933, device='cuda:0')",0.4561
9,2320.877315878868,0.3258,"tensor(2.1366, device='cuda:0')",0.4697
10,2309.980778694153,0.33098,"tensor(2.1699, device='cuda:0')",0.4609
11,2254.2196484804153,0.34434,"tensor(1.8746, device='cuda:0')",0.4931
12,2224.663943886757,0.36102,"tensor(1.9473, device='cuda:0')",0.5022
13,2205.564585328102,0.37108,"tensor(1.8897, device='cuda:0')",0.5094
14,2221.6426405906677,0.34834,"tensor(1.9286, device='cuda:0')",0.4992
15,2155.3880170583725,0.38404,"tensor(1.9815, device='cuda:0')",0.4803
16,2155.249702692032,0.37938,"tensor(1.5228, device='cuda:0')",0.5408
17,2126.5851278305054,0.38822,"tensor(2.1122, device='cuda:0')",0.4772
18,2128.0364978313446,0.38662,"tensor(1.5713, device='cuda:0')",0.5583
19,2135.5170642137527,0.39066,"tensor(2.0689, device='cuda:0')",0.5432
20,2126.730038166046,0.38992,"tensor(1.9666, device='cuda:0')",0.5312
21,2076.945463657379,0.40296,"tensor(1.6283, device='cuda:0')",0.5704
22,2106.701140165329,0.39704,"tensor(1.5918, device='cuda:0')",0.5332
23,2085.887718319893,0.40074,"tensor(1.8369, device='cuda:0')",0.5345
24,2081.188290119171,0.3983,"tensor(1.5403, device='cuda:0')",0.561
25,2073.494908452034,0.4009,"tensor(1.7038, device='cuda:0')",0.5526
26,2051.414871931076,0.41392,"tensor(1.4901, device='cuda:0')",0.5635
27,2057.8563578128815,0.41104,"tensor(1.5560, device='cuda:0')",0.5612
28,2050.2345991134644,0.40692,"tensor(1.7516, device='cuda:0')",0.5703
29,2054.7237142324448,0.41584,"tensor(1.9625, device='cuda:0')",0.5573
30,2042.4693608283997,0.41782,"tensor(1.7236, device='cuda:0')",0.5707
31,2034.521353840828,0.41456,"tensor(1.4442, device='cuda:0')",0.5452
32,2025.6259629130363,0.41542,"tensor(1.3992, device='cuda:0')",0.5785
33,2023.0653561353683,0.41524,"tensor(1.4209, device='cuda:0')",0.5902
34,2007.084061384201,0.42194,"tensor(1.6638, device='cuda:0')",0.5497
35,2003.5084787607193,0.41956,"tensor(2.1162, device='cuda:0')",0.564
36,2023.0299348831177,0.42338,"tensor(1.5757, device='cuda:0')",0.5819
37,2011.5858436822891,0.42356,"tensor(1.4081, device='cuda:0')",0.556
38,2019.0237597227097,0.40712,"tensor(1.5856, device='cuda:0')",0.5519
39,2004.4691872000694,0.43294,"tensor(1.3750, device='cuda:0')",0.5563
40,1983.5646958351135,0.43106,"tensor(1.5333, device='cuda:0')",0.5702
41,2007.7579219341278,0.4173,"tensor(1.6555, device='cuda:0')",0.5871
42,1992.42079693079,0.43008,"tensor(1.9315, device='cuda:0')",0.571
43,1997.0070025920868,0.42598,"tensor(1.8938, device='cuda:0')",0.5772
44,1990.9785165786743,0.43272,"tensor(1.6464, device='cuda:0')",0.585
45,1994.145523428917,0.42618,"tensor(1.5901, device='cuda:0')",0.5854
46,1996.525321006775,0.41906,"tensor(1.8675, device='cuda:0')",0.5278
47,1979.2298247218132,0.43458,"tensor(1.9663, device='cuda:0')",0.5968
48,1952.0015972852707,0.44416,"tensor(1.4433, device='cuda:0')",0.5765
49,1970.8395631313324,0.43856,"tensor(1.3577, device='cuda:0')",0.5922
50,1976.7755975723267,0.4374,"tensor(1.8282, device='cuda:0')",0.5494
51,1993.5954395532608,0.42156,"tensor(1.6940, device='cuda:0')",0.5951
52,1967.162624835968,0.42794,"tensor(1.5154, device='cuda:0')",0.5847
53,1959.5838322639465,0.43982,"tensor(2.1534, device='cuda:0')",0.5699
54,1973.6400532722473,0.44038,"tensor(1.5781, device='cuda:0')",0.5741
