dataset,cifar100
model_type,resnet18
batch_size,128
epochs,200
lr,0.1
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
mixup,True
featuremixup,True
dropblock,True
featuredropblock,True
cutmix,False
featurecutmix,False
cutshift,False
featureshift,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,1656.0740389823914,0.05104,"tensor(3.6557, device='cuda:0')",0.1206
1,1521.7852427959442,0.0823,"tensor(3.2953, device='cuda:0')",0.2201
2,1418.659408569336,0.12114,"tensor(3.1375, device='cuda:0')",0.2495
3,1329.86993765831,0.16368,"tensor(2.7463, device='cuda:0')",0.3327
4,1258.5479171276093,0.17,"tensor(2.5286, device='cuda:0')",0.3759
5,1221.3292016983032,0.1981,"tensor(2.3107, device='cuda:0')",0.4179
6,1173.1449649333954,0.24324,"tensor(2.0098, device='cuda:0')",0.4753
7,1155.5642763376236,0.23256,"tensor(1.7084, device='cuda:0')",0.4848
8,1104.6239558458328,0.24928,"tensor(1.6303, device='cuda:0')",0.5236
9,1078.8794363737106,0.25302,"tensor(1.6822, device='cuda:0')",0.5319
10,1054.401611328125,0.27864,"tensor(1.7966, device='cuda:0')",0.5419
11,1037.2415062189102,0.30094,"tensor(1.4199, device='cuda:0')",0.5628
12,1011.213782787323,0.2775,"tensor(1.4629, device='cuda:0')",0.5788
13,1012.7999645471573,0.29178,"tensor(1.6303, device='cuda:0')",0.5801
14,1009.3739720582962,0.32156,"tensor(1.8044, device='cuda:0')",0.5837
15,966.5738459825516,0.3038,"tensor(1.0715, device='cuda:0')",0.6265
16,956.830429315567,0.28544,"tensor(1.5907, device='cuda:0')",0.6152
17,929.5791258811951,0.338,"tensor(1.1503, device='cuda:0')",0.6144
18,936.2572637200356,0.3066,"tensor(1.4615, device='cuda:0')",0.6116
19,923.0654326677322,0.31786,"tensor(1.3500, device='cuda:0')",0.6121
20,898.3440307378769,0.33154,"tensor(1.0230, device='cuda:0')",0.6255
21,941.8929606676102,0.32114,"tensor(1.2972, device='cuda:0')",0.6278
22,913.8124891519547,0.32312,"tensor(1.5316, device='cuda:0')",0.6204
23,882.0019176006317,0.33404,"tensor(1.3870, device='cuda:0')",0.6264
24,896.9756016135216,0.33248,"tensor(1.0934, device='cuda:0')",0.6509
25,905.7331042289734,0.3414,"tensor(1.2279, device='cuda:0')",0.6432
26,899.0752961039543,0.3488,"tensor(1.4468, device='cuda:0')",0.643
27,886.1833090782166,0.34934,"tensor(1.3168, device='cuda:0')",0.6552
28,876.3503810763359,0.35398,"tensor(1.4071, device='cuda:0')",0.6588
29,869.3425726890564,0.37162,"tensor(1.3748, device='cuda:0')",0.6436
30,860.6048582196236,0.37078,"tensor(1.3365, device='cuda:0')",0.6287
31,872.4639358520508,0.34728,"tensor(1.4166, device='cuda:0')",0.6584
32,861.8353525996208,0.34256,"tensor(1.3581, device='cuda:0')",0.6693
33,841.2835622429848,0.35228,"tensor(1.0605, device='cuda:0')",0.6515
34,853.6240444779396,0.35928,"tensor(1.0578, device='cuda:0')",0.6821
35,870.4202597141266,0.37988,"tensor(1.5448, device='cuda:0')",0.6597
36,841.6359366774559,0.36792,"tensor(1.1480, device='cuda:0')",0.6685
37,836.1316104531288,0.36698,"tensor(0.9340, device='cuda:0')",0.6769
38,827.7596701383591,0.39282,"tensor(1.5737, device='cuda:0')",0.6511
39,842.3343598246574,0.38324,"tensor(1.7690, device='cuda:0')",0.6406
40,838.8749397397041,0.37568,"tensor(1.3387, device='cuda:0')",0.6717
41,826.0395599007607,0.37994,"tensor(1.3750, device='cuda:0')",0.6678
42,798.9167377948761,0.38268,"tensor(1.4097, device='cuda:0')",0.6436
43,817.9536496698856,0.38694,"tensor(1.1492, device='cuda:0')",0.6577
44,793.2667587399483,0.40264,"tensor(1.3970, device='cuda:0')",0.6574
45,802.5824875235558,0.37122,"tensor(1.4122, device='cuda:0')",0.6766
46,821.0480043888092,0.37972,"tensor(1.2509, device='cuda:0')",0.6824
47,826.8178640604019,0.36058,"tensor(1.5170, device='cuda:0')",0.6706
48,797.5661354660988,0.35428,"tensor(1.0187, device='cuda:0')",0.6824
49,817.3889872431755,0.37472,"tensor(1.3661, device='cuda:0')",0.6535
50,803.277228564024,0.381,"tensor(0.9832, device='cuda:0')",0.6659
51,789.8335873782635,0.39724,"tensor(1.4300, device='cuda:0')",0.6603
52,799.032138377428,0.41562,"tensor(1.2119, device='cuda:0')",0.6776
53,802.4602732658386,0.37696,"tensor(1.4722, device='cuda:0')",0.6821
54,816.787733644247,0.39308,"tensor(1.1673, device='cuda:0')",0.6697
55,822.3096403479576,0.3914,"tensor(0.8535, device='cuda:0')",0.6686
56,788.7082296311855,0.369,"tensor(1.5682, device='cuda:0')",0.6707
57,794.9291692078114,0.38788,"tensor(1.2455, device='cuda:0')",0.6744
58,795.0232207477093,0.37968,"tensor(1.3496, device='cuda:0')",0.6894
59,782.1186107695103,0.38312,"tensor(1.2730, device='cuda:0')",0.6751
60,785.8585801124573,0.36534,"tensor(1.4159, device='cuda:0')",0.6783
61,796.4345660507679,0.37566,"tensor(1.1248, device='cuda:0')",0.681
62,769.9141795933247,0.40586,"tensor(1.2678, device='cuda:0')",0.6578
63,788.2109280526638,0.42694,"tensor(1.4338, device='cuda:0')",0.6763
64,784.9228191077709,0.40592,"tensor(1.3332, device='cuda:0')",0.688
65,794.6063293516636,0.38328,"tensor(1.3515, device='cuda:0')",0.6861
66,779.9987399876118,0.38896,"tensor(1.2798, device='cuda:0')",0.6821
