dataset,cifar100
model_type,resnet50
batch_size,64
epochs,200
lr,0.1
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
mixup,False
featuremixup,False
dropblock,True
cutmix,False
featurecutmix,False
cutshift,False
featureshift,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,3573.5611324310303,0.0293,"tensor(4.2270, device='cuda:0')",0.0557
1,3111.87709236145,0.07358,"tensor(4.1967, device='cuda:0')",0.0988
2,2896.458356618881,0.11788,"tensor(3.6244, device='cuda:0')",0.1482
3,2693.852560520172,0.1668,"tensor(3.5285, device='cuda:0')",0.2013
4,2501.561138153076,0.2119,"tensor(2.9137, device='cuda:0')",0.2388
5,2338.7816042900085,0.2515,"tensor(2.9204, device='cuda:0')",0.2644
6,2174.7202932834625,0.29328,"tensor(2.7819, device='cuda:0')",0.3059
7,2034.8898541927338,0.32874,"tensor(2.4971, device='cuda:0')",0.3308
8,1901.022906780243,0.36402,"tensor(2.0117, device='cuda:0')",0.377
9,1775.3908091783524,0.39782,"tensor(2.5679, device='cuda:0')",0.4023
10,1650.8772248029709,0.4329,"tensor(1.9598, device='cuda:0')",0.4146
11,1545.2474049329758,0.46428,"tensor(1.7478, device='cuda:0')",0.4711
12,1449.6816885471344,0.4929,"tensor(1.8290, device='cuda:0')",0.4883
13,1365.559848189354,0.51554,"tensor(6.3115, device='cuda:0')",0.494
14,1292.595773100853,0.53678,"tensor(1.4991, device='cuda:0')",0.5168
15,1226.7020988464355,0.56036,"tensor(1.3333, device='cuda:0')",0.5289
16,1168.759975194931,0.5781,"tensor(1.1844, device='cuda:0')",0.5441
17,1116.8200477957726,0.59182,"tensor(1.7069, device='cuda:0')",0.5532
18,1066.955410182476,0.60968,"tensor(1.4271, device='cuda:0')",0.5674
19,1029.4600992202759,0.622,"tensor(1.3439, device='cuda:0')",0.5604
20,988.7951827645302,0.63692,"tensor(2.5336, device='cuda:0')",0.5573
21,959.8361936807632,0.64352,"tensor(1.3837, device='cuda:0')",0.5996
22,925.8876097202301,0.6562,"tensor(1.8319, device='cuda:0')",0.5882
23,890.541180729866,0.6691,"tensor(1.2420, device='cuda:0')",0.5796
24,875.0036810040474,0.67162,"tensor(1.5522, device='cuda:0')",0.6058
25,848.2139270305634,0.6811,"tensor(1.7299, device='cuda:0')",0.6126
26,821.5517644286156,0.68954,"tensor(1.9431, device='cuda:0')",0.5956
27,806.0368204712868,0.69726,"tensor(1.3703, device='cuda:0')",0.6193
28,784.6345320940018,0.70312,"tensor(1.6552, device='cuda:0')",0.6309
29,760.8507071733475,0.71,"tensor(2.2367, device='cuda:0')",0.6207
30,750.9711359739304,0.71144,"tensor(2.1216, device='cuda:0')",0.6211
31,728.6482160687447,0.7216,"tensor(1.6956, device='cuda:0')",0.6145
32,710.8690142631531,0.72704,"tensor(1.6735, device='cuda:0')",0.6253
33,696.2060958445072,0.73316,"tensor(1.4054, device='cuda:0')",0.6253
34,682.6004448235035,0.73682,"tensor(1.8957, device='cuda:0')",0.6057
35,667.5823301076889,0.74214,"tensor(1.6107, device='cuda:0')",0.6346
36,660.4231745302677,0.74342,"tensor(1.7008, device='cuda:0')",0.6235
37,646.9144354760647,0.74934,"tensor(1.8678, device='cuda:0')",0.6302
38,629.9161036908627,0.7542,"tensor(1.4598, device='cuda:0')",0.6437
39,617.9484407305717,0.76018,"tensor(2.2109, device='cuda:0')",0.6179
40,604.9223771095276,0.76298,"tensor(2.2635, device='cuda:0')",0.641
41,601.7978099286556,0.76438,"tensor(1.3279, device='cuda:0')",0.637
42,592.301484644413,0.76706,"tensor(1.1838, device='cuda:0')",0.6382
43,582.7979801893234,0.77128,"tensor(2.2758, device='cuda:0')",0.6391
44,573.4613920450211,0.7749,"tensor(2.1315, device='cuda:0')",0.6202
45,559.3855972439051,0.7797,"tensor(1.8705, device='cuda:0')",0.6177
46,547.1649259626865,0.78336,"tensor(0.9941, device='cuda:0')",0.6372
47,542.4860674142838,0.78432,"tensor(1.6846, device='cuda:0')",0.6275
48,532.5467279851437,0.78812,"tensor(2.7308, device='cuda:0')",0.5977
49,534.3198620975018,0.78682,"tensor(1.6665, device='cuda:0')",0.6402
50,524.6832375526428,0.7914,"tensor(1.0369, device='cuda:0')",0.6388
51,517.1073304712772,0.79514,"tensor(2.0948, device='cuda:0')",0.6259
52,517.6639014184475,0.7928,"tensor(1.1151, device='cuda:0')",0.6334
53,503.4326929450035,0.80176,"tensor(1.5298, device='cuda:0')",0.6462
54,503.4550366252661,0.7997,"tensor(0.9259, device='cuda:0')",0.6672
55,494.1636621952057,0.8042,"tensor(0.6856, device='cuda:0')",0.6534
56,492.9559749662876,0.80458,"tensor(1.3822, device='cuda:0')",0.6465
57,484.57028141617775,0.80706,"tensor(0.9631, device='cuda:0')",0.6499
58,484.9289678633213,0.80656,"tensor(0.9151, device='cuda:0')",0.6598
59,474.007945895195,0.81238,"tensor(1.0977, device='cuda:0')",0.6645
60,467.653706997633,0.81256,"tensor(0.9328, device='cuda:0')",0.6313
61,466.5896166861057,0.8135,"tensor(1.6201, device='cuda:0')",0.64
62,468.63909773528576,0.81054,"tensor(1.5637, device='cuda:0')",0.6583
63,464.10191947221756,0.81434,"tensor(1.1897, device='cuda:0')",0.643
64,461.59831634163857,0.81462,"tensor(0.9673, device='cuda:0')",0.6527
65,452.60706719756126,0.81908,"tensor(1.5422, device='cuda:0')",0.63
66,450.7252342104912,0.81846,"tensor(1.4185, device='cuda:0')",0.6447
67,445.21666719019413,0.82054,"tensor(1.1315, device='cuda:0')",0.6733
68,439.70859614014626,0.82186,"tensor(1.8525, device='cuda:0')",0.6555
69,437.12275525927544,0.82448,"tensor(1.3634, device='cuda:0')",0.6544
70,434.6564341932535,0.82514,"tensor(1.3965, device='cuda:0')",0.6524
71,432.12184323370457,0.82708,"tensor(1.3021, device='cuda:0')",0.6526
72,425.5768245756626,0.82774,"tensor(1.0417, device='cuda:0')",0.6357
73,434.74639093875885,0.82378,"tensor(1.2420, device='cuda:0')",0.6568
74,424.7966026812792,0.83054,"tensor(0.8557, device='cuda:0')",0.6486
75,415.83301435410976,0.83162,"tensor(1.1289, device='cuda:0')",0.6634
76,418.63130071759224,0.83104,"tensor(1.3482, device='cuda:0')",0.6566
77,421.32368426024914,0.83018,"tensor(1.9765, device='cuda:0')",0.6411
78,415.00644387304783,0.8309,"tensor(0.8402, device='cuda:0')",0.6439
79,412.29225791990757,0.83462,"tensor(2.0406, device='cuda:0')",0.6296
80,404.6215001195669,0.8364,"tensor(1.0591, device='cuda:0')",0.6627
81,405.6501495093107,0.8362,"tensor(1.0922, device='cuda:0')",0.6497
82,404.4177845567465,0.83734,"tensor(1.3043, device='cuda:0')",0.6411
83,407.2989600300789,0.8367,"tensor(1.0307, device='cuda:0')",0.6465
84,411.01053285598755,0.83398,"tensor(0.8042, device='cuda:0')",0.6606
85,401.4961407184601,0.83714,"tensor(1.7188, device='cuda:0')",0.6605
86,394.5696261525154,0.84124,"tensor(1.0084, device='cuda:0')",0.6446
87,399.34813073277473,0.84022,"tensor(1.5608, device='cuda:0')",0.6328
88,395.77190124988556,0.84158,"tensor(0.7011, device='cuda:0')",0.6624
89,391.3172671496868,0.84202,"tensor(1.6988, device='cuda:0')",0.6307
90,392.3696868866682,0.84046,"tensor(0.7636, device='cuda:0')",0.6597
91,392.5951851159334,0.84086,"tensor(1.2386, device='cuda:0')",0.6369
92,396.95651619136333,0.8392,"tensor(1.4021, device='cuda:0')",0.6707
93,386.15453803539276,0.8435,"tensor(1.4592, device='cuda:0')",0.6445
94,390.0140222758055,0.84096,"tensor(1.2425, device='cuda:0')",0.6477
95,380.5075713992119,0.84498,"tensor(1.1298, device='cuda:0')",0.6383
96,385.5104411840439,0.84562,"tensor(1.2470, device='cuda:0')",0.6501
97,383.64393769204617,0.84434,"tensor(0.9710, device='cuda:0')",0.6544
98,380.59279093146324,0.8461,"tensor(1.3564, device='cuda:0')",0.6305
99,386.3097740113735,0.84284,"tensor(0.5177, device='cuda:0')",0.6495
100,153.48076559603214,0.94474,"tensor(0.8224, device='cuda:0')",0.7601
