dataset,cifar100
model_type,resnet50
batch_size,64
epochs,200
lr,0.1
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
mixup,True
featuremixup,False
dropblock,False
cutmix,False
featurecutmix,False
cutshift,False
featureshift,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,3461.5060217380524,0.02582,"tensor(3.9589, device='cuda:0')",0.0801
1,3234.551270008087,0.0558,"tensor(3.5174, device='cuda:0')",0.1374
2,3085.8957011699677,0.07826,"tensor(3.3113, device='cuda:0')",0.1878
3,2950.9856061935425,0.099,"tensor(3.1128, device='cuda:0')",0.2096
4,2837.719746351242,0.11886,"tensor(2.6891, device='cuda:0')",0.2583
5,2741.4189014434814,0.14256,"tensor(2.7571, device='cuda:0')",0.2952
6,2639.456823348999,0.15208,"tensor(2.8031, device='cuda:0')",0.3372
7,2572.320335626602,0.16826,"tensor(2.5765, device='cuda:0')",0.3797
8,2465.263794898987,0.18546,"tensor(1.9909, device='cuda:0')",0.4086
9,2426.9192550182343,0.19676,"tensor(1.8584, device='cuda:0')",0.4329
10,2363.2688953876495,0.21008,"tensor(2.3769, device='cuda:0')",0.4086
11,2291.7051322460175,0.21146,"tensor(2.7344, device='cuda:0')",0.4422
12,2277.1133068799973,0.23268,"tensor(1.8680, device='cuda:0')",0.5041
13,2220.5862169265747,0.24454,"tensor(1.9286, device='cuda:0')",0.4539
14,2182.7295924425125,0.2493,"tensor(1.8375, device='cuda:0')",0.5216
15,2154.297619819641,0.2564,"tensor(1.7299, device='cuda:0')",0.5229
16,2142.8000876903534,0.26802,"tensor(1.6949, device='cuda:0')",0.538
17,2124.22089779377,0.25978,"tensor(1.9426, device='cuda:0')",0.5378
18,2076.3933070898056,0.27516,"tensor(1.7017, device='cuda:0')",0.5715
19,2053.6281584501266,0.28154,"tensor(1.5977, device='cuda:0')",0.5512
20,2044.8092674016953,0.27378,"tensor(1.9473, device='cuda:0')",0.5378
21,1996.253121137619,0.28236,"tensor(1.9954, device='cuda:0')",0.5548
22,1986.420487523079,0.29108,"tensor(1.6609, device='cuda:0')",0.5729
23,2012.2978088855743,0.29366,"tensor(1.5742, device='cuda:0')",0.5729
24,2008.994472503662,0.2878,"tensor(1.6144, device='cuda:0')",0.5908
25,1980.622409582138,0.2876,"tensor(1.2788, device='cuda:0')",0.6077
26,1968.294243812561,0.29448,"tensor(1.7745, device='cuda:0')",0.6087
27,1943.8863971233368,0.31918,"tensor(1.2669, device='cuda:0')",0.5931
28,1961.8179551362991,0.31078,"tensor(1.5440, device='cuda:0')",0.602
29,1950.9485294818878,0.31026,"tensor(1.9816, device='cuda:0')",0.5599
30,1892.4590266346931,0.33894,"tensor(1.8081, device='cuda:0')",0.6068
31,1891.40511906147,0.31466,"tensor(1.3681, device='cuda:0')",0.613
