dataset,cifar100
model_type,wideresnet
batch_size,128
epochs,200
lr,0.1
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
mixup,False
featuremixup,False
dropblock,True
cutmix,False
featurecutmix,False
cutshift,False
featureshift,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,1549.3034117221832,0.08428,"tensor(3.7392, device='cuda:0')",0.132
1,1280.2300817966461,0.19794,"tensor(3.0310, device='cuda:0')",0.2116
2,1047.2003500461578,0.30924,"tensor(2.2889, device='cuda:0')",0.3553
3,884.2454451322556,0.39504,"tensor(2.0062, device='cuda:0')",0.3986
4,772.786483168602,0.45822,"tensor(1.3999, device='cuda:0')",0.4608
5,694.8989228010178,0.50752,"tensor(1.7687, device='cuda:0')",0.4668
6,630.7673766613007,0.54562,"tensor(1.2852, device='cuda:0')",0.5179
7,582.8473145961761,0.57536,"tensor(1.1527, device='cuda:0')",0.5769
8,539.876867890358,0.60156,"tensor(1.8333, device='cuda:0')",0.5812
9,504.0335552096367,0.62614,"tensor(1.0299, device='cuda:0')",0.5928
10,471.5124334692955,0.6466,"tensor(1.1060, device='cuda:0')",0.6086
11,443.105155646801,0.667,"tensor(1.3338, device='cuda:0')",0.5871
12,422.0995562672615,0.67954,"tensor(1.2476, device='cuda:0')",0.6279
13,395.12249302864075,0.69836,"tensor(1.0708, device='cuda:0')",0.5853
14,374.41274613142014,0.71318,"tensor(1.3714, device='cuda:0')",0.6405
15,355.75680208206177,0.72558,"tensor(0.6410, device='cuda:0')",0.6655
16,337.45978903770447,0.73688,"tensor(0.7531, device='cuda:0')",0.6521
17,321.0080283880234,0.74924,"tensor(1.6861, device='cuda:0')",0.6668
18,307.1278377175331,0.75966,"tensor(1.4743, device='cuda:0')",0.6469
19,289.2332095503807,0.77246,"tensor(0.9434, device='cuda:0')",0.6705
20,280.28338649868965,0.77764,"tensor(1.2014, device='cuda:0')",0.6659
21,266.77232924103737,0.78558,"tensor(1.4631, device='cuda:0')",0.6802
22,255.87463533878326,0.79804,"tensor(1.1995, device='cuda:0')",0.6655
23,245.03056380152702,0.80216,"tensor(1.2837, device='cuda:0')",0.6793
24,236.45739394426346,0.80956,"tensor(0.8259, device='cuda:0')",0.6869
25,225.82280591130257,0.81694,"tensor(1.0564, device='cuda:0')",0.6839
26,220.14830493927002,0.82134,"tensor(1.0869, device='cuda:0')",0.6842
27,209.65503996610641,0.83096,"tensor(1.1505, device='cuda:0')",0.6852
28,204.44000563025475,0.83396,"tensor(1.1531, device='cuda:0')",0.6777
29,194.6515508890152,0.84166,"tensor(1.2834, device='cuda:0')",0.6809
30,187.65195068717003,0.8462,"tensor(1.7585, device='cuda:0')",0.7005
31,185.4995515048504,0.84772,"tensor(1.1381, device='cuda:0')",0.6873
32,179.9959363937378,0.85248,"tensor(1.7706, device='cuda:0')",0.6987
33,172.62767320871353,0.85948,"tensor(1.0540, device='cuda:0')",0.6817
34,166.5608225464821,0.86436,"tensor(1.6048, device='cuda:0')",0.6848
35,163.89675675332546,0.86604,"tensor(1.2825, device='cuda:0')",0.6824
36,154.24859949946404,0.87356,"tensor(1.1747, device='cuda:0')",0.6834
37,152.4087664037943,0.87572,"tensor(1.7276, device='cuda:0')",0.6911
38,152.6490948945284,0.87362,"tensor(1.5138, device='cuda:0')",0.6958
39,149.52911815047264,0.8764,"tensor(1.8688, device='cuda:0')",0.6784
40,142.38183517754078,0.88248,"tensor(1.1976, device='cuda:0')",0.7041
41,142.4265649318695,0.88218,"tensor(2.1874, device='cuda:0')",0.6955
42,139.4098608493805,0.88574,"tensor(1.5411, device='cuda:0')",0.6834
43,139.03476406633854,0.88452,"tensor(1.3546, device='cuda:0')",0.6811
44,131.78209897875786,0.8908,"tensor(0.8382, device='cuda:0')",0.695
45,133.0121005475521,0.89032,"tensor(1.3245, device='cuda:0')",0.6867
46,127.25063203275204,0.89454,"tensor(1.6998, device='cuda:0')",0.6896
47,124.21838010847569,0.89552,"tensor(2.0856, device='cuda:0')",0.6916
48,124.9788709282875,0.89644,"tensor(2.1735, device='cuda:0')",0.686
49,122.41654154658318,0.89984,"tensor(1.6882, device='cuda:0')",0.6904
50,121.75437535345554,0.89942,"tensor(2.3920, device='cuda:0')",0.6842
51,118.6212152838707,0.90144,"tensor(1.2238, device='cuda:0')",0.6908
52,122.8080827742815,0.89776,"tensor(1.1639, device='cuda:0')",0.6845
53,118.33217552304268,0.90052,"tensor(0.7624, device='cuda:0')",0.6979
54,115.82116836309433,0.90558,"tensor(0.7713, device='cuda:0')",0.6987
55,113.82198621332645,0.9056,"tensor(1.4161, device='cuda:0')",0.7102
56,114.46680271625519,0.90636,"tensor(1.3088, device='cuda:0')",0.6899
57,114.17386347800493,0.90558,"tensor(1.3431, device='cuda:0')",0.6907
58,111.27940406650305,0.9076,"tensor(1.0684, device='cuda:0')",0.6946
59,110.43557094037533,0.90994,"tensor(1.5763, device='cuda:0')",0.7037
60,105.4257478043437,0.91328,"tensor(1.4303, device='cuda:0')",0.7008
61,112.12571845203638,0.90746,"tensor(1.0715, device='cuda:0')",0.6989
62,109.1233369782567,0.90988,"tensor(2.4296, device='cuda:0')",0.7002
63,106.13434813171625,0.91406,"tensor(1.7151, device='cuda:0')",0.6847
64,104.93885731697083,0.91486,"tensor(1.3359, device='cuda:0')",0.706
65,106.34139616042376,0.91256,"tensor(1.6877, device='cuda:0')",0.7014
66,103.773481503129,0.91452,"tensor(1.1392, device='cuda:0')",0.6932
67,107.70796577632427,0.91098,"tensor(1.3975, device='cuda:0')",0.6815
68,103.39892663061619,0.91436,"tensor(0.7028, device='cuda:0')",0.7039
69,102.95558814704418,0.9145,"tensor(1.5242, device='cuda:0')",0.6944
70,104.8367759808898,0.9139,"tensor(1.6819, device='cuda:0')",0.687
71,98.95915792137384,0.91932,"tensor(1.5539, device='cuda:0')",0.7019
72,102.12222258001566,0.91748,"tensor(0.9930, device='cuda:0')",0.6973
73,102.10853946954012,0.91648,"tensor(1.3432, device='cuda:0')",0.6935
74,103.19117793440819,0.91502,"tensor(1.3034, device='cuda:0')",0.6961
75,98.36415600776672,0.91896,"tensor(0.8333, device='cuda:0')",0.6943
76,100.95604307204485,0.91672,"tensor(1.0698, device='cuda:0')",0.7132
77,93.59598763287067,0.92374,"tensor(1.3423, device='cuda:0')",0.6989
78,96.97428927570581,0.92062,"tensor(0.4268, device='cuda:0')",0.7054
79,94.13353392481804,0.92338,"tensor(1.5498, device='cuda:0')",0.698
80,99.40872094035149,0.91874,"tensor(1.3463, device='cuda:0')",0.689
81,97.65415457636118,0.92118,"tensor(1.8372, device='cuda:0')",0.6879
82,93.73126849532127,0.9236,"tensor(0.9884, device='cuda:0')",0.6978
83,96.38653312623501,0.92096,"tensor(1.2276, device='cuda:0')",0.6939
84,96.53739993274212,0.9205,"tensor(1.6201, device='cuda:0')",0.7055
85,96.99283294379711,0.92148,"tensor(1.8749, device='cuda:0')",0.7
86,95.17897635698318,0.92118,"tensor(1.3012, device='cuda:0')",0.6911
87,91.61539633572102,0.92546,"tensor(1.0159, device='cuda:0')",0.6923
88,92.49047297984362,0.92464,"tensor(1.4667, device='cuda:0')",0.6886
89,93.97218260169029,0.92242,"tensor(1.3857, device='cuda:0')",0.6902
90,96.94579091668129,0.92068,"tensor(0.4528, device='cuda:0')",0.6967
91,95.36427953094244,0.92268,"tensor(1.0329, device='cuda:0')",0.7033
92,89.17205582559109,0.92806,"tensor(1.9633, device='cuda:0')",0.6913
93,93.66441107541323,0.92398,"tensor(1.3184, device='cuda:0')",0.6989
94,90.95642528682947,0.92754,"tensor(1.1738, device='cuda:0')",0.6843
95,90.00789082795382,0.92604,"tensor(1.7605, device='cuda:0')",0.707
96,91.05904869735241,0.92582,"tensor(2.3775, device='cuda:0')",0.6962
97,96.56812121719122,0.92222,"tensor(0.7357, device='cuda:0')",0.7006
98,93.48575226962566,0.92466,"tensor(1.0373, device='cuda:0')",0.6908
99,92.29312040656805,0.92442,"tensor(1.2990, device='cuda:0')",0.6857
100,35.80265149101615,0.97402,"tensor(1.0079, device='cuda:0')",0.769
101,17.8744267039001,0.98924,"tensor(1.0743, device='cuda:0')",0.7734
102,13.475733917206526,0.99284,"tensor(1.2000, device='cuda:0')",0.7753
103,11.235517624765635,0.9943,"tensor(1.2927, device='cuda:0')",0.7775
104,9.542388331145048,0.99538,"tensor(1.2258, device='cuda:0')",0.7774
105,8.951769776642323,0.99558,"tensor(1.2676, device='cuda:0')",0.7782
106,7.9878408424556255,0.99636,"tensor(1.2702, device='cuda:0')",0.7776
107,7.636296575888991,0.99616,"tensor(1.2668, device='cuda:0')",0.7786
108,6.751588290557265,0.997,"tensor(1.1873, device='cuda:0')",0.778
109,6.276219986379147,0.99712,"tensor(1.2132, device='cuda:0')",0.7779
110,5.994137755595148,0.99726,"tensor(1.2089, device='cuda:0')",0.7802
111,5.937587035819888,0.9972,"tensor(1.2754, device='cuda:0')",0.7793
112,5.173798870295286,0.99786,"tensor(1.3664, device='cuda:0')",0.7787
113,5.5523723983205855,0.99736,"tensor(1.2202, device='cuda:0')",0.7813
114,4.868403209373355,0.99822,"tensor(1.2108, device='cuda:0')",0.7794
115,4.806917166337371,0.99826,"tensor(1.3032, device='cuda:0')",0.7824
116,4.649275267962366,0.99822,"tensor(1.3430, device='cuda:0')",0.782
117,4.75240245833993,0.99822,"tensor(1.3791, device='cuda:0')",0.7814
118,4.432685641571879,0.99828,"tensor(1.3362, device='cuda:0')",0.7835
119,4.22883453220129,0.99854,"tensor(1.3880, device='cuda:0')",0.7824
120,4.154681828804314,0.99822,"tensor(1.2755, device='cuda:0')",0.7825
121,4.0637972094118595,0.99856,"tensor(1.2124, device='cuda:0')",0.7834
122,3.9959714338183403,0.99854,"tensor(1.3006, device='cuda:0')",0.7826
123,3.730067214462906,0.99892,"tensor(1.2498, device='cuda:0')",0.7828
124,3.7249781996943057,0.99878,"tensor(1.2603, device='cuda:0')",0.7824
125,3.586548335850239,0.99872,"tensor(1.2725, device='cuda:0')",0.7827
126,3.6906167827546597,0.99876,"tensor(1.0767, device='cuda:0')",0.7834
127,3.4989477721974254,0.99876,"tensor(1.2201, device='cuda:0')",0.7819
128,3.6354687437415123,0.99866,"tensor(1.0898, device='cuda:0')",0.782
129,3.347647496499121,0.9989,"tensor(1.0444, device='cuda:0')",0.7838
130,3.331837403587997,0.99888,"tensor(1.1155, device='cuda:0')",0.783
131,3.308714309707284,0.9989,"tensor(1.0491, device='cuda:0')",0.7829
132,3.4058313509449363,0.99876,"tensor(1.1898, device='cuda:0')",0.7833
133,3.2193906530737877,0.99892,"tensor(1.1161, device='cuda:0')",0.7835
134,3.276348701212555,0.99882,"tensor(1.1075, device='cuda:0')",0.7828
135,3.240373084321618,0.9988,"tensor(1.0529, device='cuda:0')",0.7838
136,3.1772428825497627,0.99896,"tensor(0.9738, device='cuda:0')",0.7817
137,3.2178438929840922,0.99896,"tensor(1.1123, device='cuda:0')",0.7836
138,3.211401965469122,0.99904,"tensor(1.0012, device='cuda:0')",0.7835
139,3.2523172050714493,0.99884,"tensor(1.0306, device='cuda:0')",0.7843
140,2.8467337042093277,0.99928,"tensor(1.1377, device='cuda:0')",0.783
141,3.1341148214414716,0.99896,"tensor(1.0870, device='cuda:0')",0.786
142,2.801538991741836,0.99924,"tensor(1.0327, device='cuda:0')",0.7832
143,2.8074520770460367,0.99916,"tensor(0.9673, device='cuda:0')",0.7857
144,2.7913374030031264,0.99914,"tensor(1.0747, device='cuda:0')",0.7843
