dataset,cifar100
model_type,wideresnet
batch_size,128
epochs,200
lr,0.1
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
mixup,True
featuremixup,False
dropblock,False
cutmix,False
featurecutmix,False
cutshift,False
featureshift,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,1673.3554737567902,0.04334,"tensor(3.6197, device='cuda:0')",0.1096
1,1547.0694975852966,0.07562,"tensor(2.9607, device='cuda:0')",0.1981
2,1433.947378873825,0.11912,"tensor(2.9332, device='cuda:0')",0.2796
3,1331.3769314289093,0.15102,"tensor(2.4100, device='cuda:0')",0.3097
4,1258.3918678760529,0.1947,"tensor(2.3417, device='cuda:0')",0.404
5,1200.2839620113373,0.21732,"tensor(2.1395, device='cuda:0')",0.4152
6,1136.036979675293,0.24182,"tensor(1.9552, device='cuda:0')",0.4729
7,1114.808842420578,0.24128,"tensor(1.7078, device='cuda:0')",0.5204
8,1082.544543147087,0.26862,"tensor(2.2491, device='cuda:0')",0.492
9,1050.1261277198792,0.25966,"tensor(1.8692, device='cuda:0')",0.5588
10,1006.487375497818,0.25506,"tensor(1.5710, device='cuda:0')",0.5525
11,1030.6281430721283,0.26768,"tensor(2.0367, device='cuda:0')",0.5533
12,1004.1798028945923,0.31092,"tensor(1.6703, device='cuda:0')",0.595
13,991.528328537941,0.31732,"tensor(1.5432, device='cuda:0')",0.5826
14,973.0799448490143,0.31206,"tensor(1.4283, device='cuda:0')",0.6092
15,977.5504828691483,0.31962,"tensor(1.7171, device='cuda:0')",0.607
16,930.8977310657501,0.3064,"tensor(1.3608, device='cuda:0')",0.6205
17,928.8486007452011,0.33032,"tensor(1.4961, device='cuda:0')",0.6458
18,924.4561775922775,0.33522,"tensor(1.4580, device='cuda:0')",0.6392
19,910.385334789753,0.36352,"tensor(1.2489, device='cuda:0')",0.6497
20,907.6176456809044,0.31562,"tensor(1.2365, device='cuda:0')",0.642
21,898.5543705224991,0.33274,"tensor(1.3018, device='cuda:0')",0.6578
22,889.9241650700569,0.322,"tensor(1.3640, device='cuda:0')",0.6729
23,859.0973330140114,0.35342,"tensor(1.3515, device='cuda:0')",0.6738
24,892.8629019856453,0.33518,"tensor(1.3749, device='cuda:0')",0.6771
25,837.9639118313789,0.3471,"tensor(1.0287, device='cuda:0')",0.6767
26,858.9639908075333,0.33026,"tensor(1.4311, device='cuda:0')",0.6597
27,859.2686644792557,0.34486,"tensor(1.1656, device='cuda:0')",0.6694
28,844.1051037311554,0.37758,"tensor(1.1662, device='cuda:0')",0.691
29,848.5802439451218,0.36126,"tensor(1.0043, device='cuda:0')",0.6982
30,811.9399075508118,0.39376,"tensor(1.2490, device='cuda:0')",0.6708
31,837.5733895897865,0.39154,"tensor(0.9569, device='cuda:0')",0.6962
