dataset,cifar10
model_type,resnet18
batch_size,128
epochs,250
lr,0.25
momentum,0.9
seed,1
resume,False
lr_decay,0.001
cutmix,True
cutshift,False
featuregroup,False
featureshift,False
featuremix,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,949.5333302021027,0.1421,"tensor(1.9615, device='cuda:0')",0.2598
1,800.8430086374283,0.25042,"tensor(1.3871, device='cuda:0')",0.2986
2,753.8514988422394,0.30348,"tensor(1.2650, device='cuda:0')",0.4124
3,704.1504904031754,0.3676,"tensor(1.2924, device='cuda:0')",0.4138
4,668.9633213281631,0.40862,"tensor(1.6849, device='cuda:0')",0.4205
5,656.0331370830536,0.41902,"tensor(1.1810, device='cuda:0')",0.5428
6,637.2302113175392,0.44408,"tensor(1.1066, device='cuda:0')",0.5667
7,626.8747065663338,0.45836,"tensor(1.8127, device='cuda:0')",0.4622
8,624.3956924676895,0.46056,"tensor(1.1296, device='cuda:0')",0.5613
9,621.5531025528908,0.46064,"tensor(1.3409, device='cuda:0')",0.6044
10,613.442563354969,0.46282,"tensor(1.0438, device='cuda:0')",0.6622
11,620.7745658755302,0.46136,"tensor(1.7712, device='cuda:0')",0.4469
12,606.8313528895378,0.4806,"tensor(1.3781, device='cuda:0')",0.4664
13,598.729531109333,0.48914,"tensor(0.9487, device='cuda:0')",0.5387
14,611.4176996946335,0.47108,"tensor(1.0304, device='cuda:0')",0.553
15,608.6420083642006,0.47154,"tensor(1.0408, device='cuda:0')",0.6573
16,601.2351363301277,0.47494,"tensor(0.9975, device='cuda:0')",0.6229
17,601.2967312335968,0.47848,"tensor(0.7589, device='cuda:0')",0.6689
18,588.8290930390358,0.49492,"tensor(1.7521, device='cuda:0')",0.5885
19,604.5994143486023,0.4771,"tensor(1.0169, device='cuda:0')",0.5578
20,596.111379981041,0.48756,"tensor(0.8386, device='cuda:0')",0.6456
21,594.5976487994194,0.49558,"tensor(0.9487, device='cuda:0')",0.6081
22,608.4873465299606,0.47434,"tensor(1.0028, device='cuda:0')",0.6239
23,596.1682949066162,0.48708,"tensor(1.0710, device='cuda:0')",0.4223
24,595.9099933505058,0.4928,"tensor(1.7199, device='cuda:0')",0.5255
25,599.2285363078117,0.48744,"tensor(0.8868, device='cuda:0')",0.6495
26,591.9016641974449,0.49454,"tensor(1.5722, device='cuda:0')",0.5527
27,593.1497542858124,0.49358,"tensor(1.2311, device='cuda:0')",0.6606
28,598.6081214547157,0.48664,"tensor(1.1496, device='cuda:0')",0.5903
29,601.0403527021408,0.48126,"tensor(1.1900, device='cuda:0')",0.5815
30,596.2409501671791,0.48152,"tensor(0.7501, device='cuda:0')",0.6204
31,596.0700693130493,0.48514,"tensor(0.9250, device='cuda:0')",0.6023
32,594.9294430613518,0.48936,"tensor(0.8560, device='cuda:0')",0.6815
33,589.0208515524864,0.4958,"tensor(0.8127, device='cuda:0')",0.6853
34,587.2392699718475,0.49904,"tensor(2.0216, device='cuda:0')",0.4618
35,599.6400438547134,0.47968,"tensor(0.7886, device='cuda:0')",0.5036
36,601.2138363718987,0.47052,"tensor(1.2318, device='cuda:0')",0.52
37,591.723390519619,0.49584,"tensor(1.4348, device='cuda:0')",0.6344
