dataset,cifar10
model_type,resnet18
batch_size,128
epochs,250
lr,0.25
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
cutmix,True
cutshift,False
featuregroup,False
featureshift,False
featuremix,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,968.3561193943024,0.11296,"tensor(2.0401, device='cuda:0')",0.1789
1,852.7982850074768,0.16708,"tensor(1.7849, device='cuda:0')",0.2195
2,828.1334140300751,0.19486,"tensor(1.9770, device='cuda:0')",0.2301
3,789.9544203281403,0.25858,"tensor(1.5358, device='cuda:0')",0.365
4,762.4596135616302,0.29894,"tensor(1.2868, device='cuda:0')",0.4212
5,738.465368270874,0.33064,"tensor(1.2252, device='cuda:0')",0.4631
6,707.7825328111649,0.36584,"tensor(1.4528, device='cuda:0')",0.5248
7,681.6011008024216,0.38912,"tensor(1.1533, device='cuda:0')",0.5573
8,644.8943566083908,0.43602,"tensor(0.7754, device='cuda:0')",0.5863
9,626.3382588624954,0.45544,"tensor(1.2576, device='cuda:0')",0.6517
10,611.4404247403145,0.46108,"tensor(0.7218, device='cuda:0')",0.6607
11,592.0920775532722,0.49088,"tensor(0.7804, device='cuda:0')",0.6321
12,570.2939220666885,0.50206,"tensor(0.7725, device='cuda:0')",0.6739
13,564.4865186810493,0.50734,"tensor(0.7502, device='cuda:0')",0.6527
14,542.9033765792847,0.53776,"tensor(0.7325, device='cuda:0')",0.7211
15,536.149424135685,0.54734,"tensor(0.6461, device='cuda:0')",0.7529
16,517.9767458438873,0.55358,"tensor(0.9538, device='cuda:0')",0.7243
17,515.602404743433,0.55488,"tensor(0.4531, device='cuda:0')",0.7871
18,494.4744535088539,0.58036,"tensor(0.3591, device='cuda:0')",0.7759
19,493.6516515314579,0.57666,"tensor(0.6238, device='cuda:0')",0.7956
20,495.70765244960785,0.57614,"tensor(0.5276, device='cuda:0')",0.7438
21,472.37044936418533,0.60766,"tensor(0.6826, device='cuda:0')",0.7889
22,479.21464425325394,0.58132,"tensor(0.6397, device='cuda:0')",0.7824
23,471.60462963581085,0.5938,"tensor(0.5911, device='cuda:0')",0.8099
24,475.3468161225319,0.58298,"tensor(0.7029, device='cuda:0')",0.7957
