featuregroup,False
seed,1
cutshift,False
epochs,250
mix_prob,1.0
dataset,cifar10
beta,1.0
model_type,resnet18
resume,False
lr_decay,0.0001
batch_size,64
momentum,0.9
featuremix,False
lr,0.25
featureshift,False
cutmix,True

epoch,train_loss,train_acc,test_loss,test_acc
0,1747.244240641594,0.16252,"tensor(1.7833, device='cuda:0')",0.2747
1,1552.8054937124252,0.28306,"tensor(1.2863, device='cuda:0')",0.4385
2,1462.164018034935,0.34904,"tensor(1.1652, device='cuda:0')",0.4534
3,1373.2180601358414,0.40274,"tensor(0.9736, device='cuda:0')",0.5556
4,1289.4754467606544,0.4497,"tensor(1.2838, device='cuda:0')",0.6361
5,1225.763266801834,0.492,"tensor(0.7864, device='cuda:0')",0.6814
6,1166.448802947998,0.52392,"tensor(0.8564, device='cuda:0')",0.6686
7,1131.5224276185036,0.54506,"tensor(0.6072, device='cuda:0')",0.7122
8,1101.6688636541367,0.55996,"tensor(0.8489, device='cuda:0')",0.7124
9,1087.7389851808548,0.5627,"tensor(0.4962, device='cuda:0')",0.7727
10,1067.1731736063957,0.56496,"tensor(0.6205, device='cuda:0')",0.7543
11,1044.8891226649284,0.58934,"tensor(0.9564, device='cuda:0')",0.6741
12,1042.5784775912762,0.58068,"tensor(0.5081, device='cuda:0')",0.7645
13,1031.5033616423607,0.5945,"tensor(0.5758, device='cuda:0')",0.7796
14,1028.181915819645,0.59738,"tensor(0.6805, device='cuda:0')",0.8158
15,1014.0322503149509,0.60684,"tensor(0.5944, device='cuda:0')",0.785
16,1019.4661734998226,0.59236,"tensor(0.6900, device='cuda:0')",0.7985
17,995.740619122982,0.61468,"tensor(0.4550, device='cuda:0')",0.781
18,1002.3472100496292,0.60526,"tensor(0.5612, device='cuda:0')",0.7962
19,986.3063488006592,0.62196,"tensor(0.4341, device='cuda:0')",0.779
20,985.4120820462704,0.62158,"tensor(0.6342, device='cuda:0')",0.8206
21,987.4608704447746,0.61278,"tensor(0.8675, device='cuda:0')",0.7844
22,973.0975455641747,0.61898,"tensor(0.3513, device='cuda:0')",0.8337
23,949.672450274229,0.63958,"tensor(0.3520, device='cuda:0')",0.8315
24,949.8500753641129,0.63352,"tensor(0.9742, device='cuda:0')",0.7947
25,971.7419444918633,0.61488,"tensor(0.4778, device='cuda:0')",0.8347
26,976.0849535167217,0.6163,"tensor(0.7809, device='cuda:0')",0.8115
27,958.3542532622814,0.62446,"tensor(0.4066, device='cuda:0')",0.8149
28,953.2231253385544,0.63044,"tensor(0.5636, device='cuda:0')",0.8389
29,930.3579225540161,0.64526,"tensor(0.6458, device='cuda:0')",0.8396
30,958.9794910252094,0.62198,"tensor(0.6451, device='cuda:0')",0.8279
31,940.2811006903648,0.63496,"tensor(0.4814, device='cuda:0')",0.8343
32,942.89703977108,0.63066,"tensor(0.3682, device='cuda:0')",0.7962
33,927.2950168848038,0.63754,"tensor(0.4528, device='cuda:0')",0.7993
34,932.2056297063828,0.64706,"tensor(0.6126, device='cuda:0')",0.807
35,922.6102491766214,0.64506,"tensor(0.5796, device='cuda:0')",0.8492
36,928.4614934623241,0.63462,"tensor(0.4345, device='cuda:0')",0.8522
37,934.1303296685219,0.63794,"tensor(0.4075, device='cuda:0')",0.8455
38,925.0484341979027,0.6496,"tensor(0.4507, device='cuda:0')",0.8348
39,930.1002683341503,0.64552,"tensor(0.5962, device='cuda:0')",0.8323
40,908.142923116684,0.65874,"tensor(0.3910, device='cuda:0')",0.8371
41,920.3676669001579,0.6467,"tensor(0.4758, device='cuda:0')",0.8206
42,911.0901198387146,0.66124,"tensor(0.8208, device='cuda:0')",0.8213
43,915.9678399264812,0.65332,"tensor(0.6640, device='cuda:0')",0.843
44,912.0439034700394,0.64264,"tensor(0.3665, device='cuda:0')",0.8647
45,911.48780554533,0.65912,"tensor(0.6010, device='cuda:0')",0.8263
46,912.2641957104206,0.6587,"tensor(0.4115, device='cuda:0')",0.8471
47,897.8379691690207,0.66962,"tensor(0.5339, device='cuda:0')",0.8205
48,913.0229955017567,0.6519,"tensor(0.5375, device='cuda:0')",0.8617
49,915.3695226311684,0.638,"tensor(0.4842, device='cuda:0')",0.8495
50,908.7578980028629,0.65398,"tensor(0.4149, device='cuda:0')",0.8203
51,902.2408673167229,0.65058,"tensor(0.3538, device='cuda:0')",0.8519
52,901.8288572728634,0.64898,"tensor(0.4496, device='cuda:0')",0.8519
53,896.3065367341042,0.65998,"tensor(0.6677, device='cuda:0')",0.868
54,907.4623420238495,0.65612,"tensor(0.5531, device='cuda:0')",0.805
55,904.0466544628143,0.64876,"tensor(0.4185, device='cuda:0')",0.8173
56,900.00912296772,0.65524,"tensor(0.6393, device='cuda:0')",0.8372
57,900.4934866726398,0.6629,"tensor(0.4753, device='cuda:0')",0.8601
58,902.579669162631,0.65018,"tensor(0.5248, device='cuda:0')",0.8481
59,894.6408738642931,0.6696,"tensor(0.9264, device='cuda:0')",0.8428
60,900.7118034511805,0.64794,"tensor(0.4159, device='cuda:0')",0.8524
61,893.9979648292065,0.6616,"tensor(0.5468, device='cuda:0')",0.8475
62,902.9224909245968,0.64936,"tensor(0.5610, device='cuda:0')",0.8699
63,895.396388143301,0.65274,"tensor(0.4314, device='cuda:0')",0.8663
64,896.8993175625801,0.65362,"tensor(0.7358, device='cuda:0')",0.8558
65,898.0319673418999,0.64994,"tensor(0.5001, device='cuda:0')",0.8533
66,885.5972267091274,0.65936,"tensor(0.7601, device='cuda:0')",0.7918
67,883.1431494653225,0.66836,"tensor(0.4321, device='cuda:0')",0.8646
68,885.9322227835655,0.66218,"tensor(0.5841, device='cuda:0')",0.8521
69,882.0857407450676,0.66542,"tensor(0.5103, device='cuda:0')",0.8361
70,876.3127885460854,0.67652,"tensor(0.7015, device='cuda:0')",0.8478
71,898.2357306331396,0.6591,"tensor(0.3881, device='cuda:0')",0.8244
