dataset,cifar10
model_type,resnet18
batch_size,64
epochs,250
lr,0.25
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
cutmix,True
cutshift,True
featuregroup,False
featureshift,True
featuremix,True
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,1901.1842422485352,0.10674,"tensor(2.2847, device='cuda:0')",0.1229
1,1769.1009783744812,0.14052,"tensor(2.0004, device='cuda:0')",0.195
2,1759.1378393173218,0.1508,"tensor(1.8197, device='cuda:0')",0.1893
3,1747.8253030776978,0.16038,"tensor(1.9253, device='cuda:0')",0.2065
4,1737.0740048885345,0.1728,"tensor(1.8098, device='cuda:0')",0.2632
5,1722.5458779335022,0.18372,"tensor(1.7850, device='cuda:0')",0.2506
6,1706.3782806396484,0.20036,"tensor(1.8035, device='cuda:0')",0.2821
7,1689.271694779396,0.20998,"tensor(1.6377, device='cuda:0')",0.3325
8,1689.9574337005615,0.21626,"tensor(1.6220, device='cuda:0')",0.3642
9,1680.8631364107132,0.2245,"tensor(1.5769, device='cuda:0')",0.2935
10,1675.4455962181091,0.22926,"tensor(1.3514, device='cuda:0')",0.3857
11,1660.6370947360992,0.24072,"tensor(1.6183, device='cuda:0')",0.4104
12,1638.6236544847488,0.26156,"tensor(1.3077, device='cuda:0')",0.4016
13,1644.8598526716232,0.26102,"tensor(1.4022, device='cuda:0')",0.4327
14,1616.8472573757172,0.27636,"tensor(1.3593, device='cuda:0')",0.4456
15,1610.3812419176102,0.28322,"tensor(1.3632, device='cuda:0')",0.5008
16,1618.5100450515747,0.28428,"tensor(1.3004, device='cuda:0')",0.4815
17,1605.9774050712585,0.29,"tensor(1.3009, device='cuda:0')",0.5149
18,1613.3669854402542,0.28742,"tensor(1.3516, device='cuda:0')",0.5353
19,1593.34914124012,0.29594,"tensor(1.5624, device='cuda:0')",0.5171
20,1587.8672922849655,0.301,"tensor(1.3836, device='cuda:0')",0.5369
21,1596.143510222435,0.29696,"tensor(1.5412, device='cuda:0')",0.457
22,1583.1011626720428,0.30402,"tensor(1.1583, device='cuda:0')",0.5037
23,1579.0028151273727,0.30822,"tensor(1.3330, device='cuda:0')",0.506
24,1567.8145924806595,0.3141,"tensor(1.4015, device='cuda:0')",0.5573
