dataset,cifar10
model_type,resnet18
batch_size,64
epochs,250
lr,0.25
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
cutmix,True
cutshift,True
featuregroup,True
featureshift,True
featuremix,True
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,1913.8368299007416,0.10442,"tensor(2.2986, device='cuda:0')",0.1226
1,1791.1929460763931,0.12062,"tensor(1.9269, device='cuda:0')",0.1928
2,1761.8564958572388,0.14838,"tensor(1.9012, device='cuda:0')",0.1859
3,1749.7309176921844,0.15632,"tensor(1.8902, device='cuda:0')",0.2028
4,1741.4441570043564,0.16382,"tensor(1.7925, device='cuda:0')",0.2743
5,1730.133457660675,0.17718,"tensor(1.7252, device='cuda:0')",0.267
6,1721.1167743206024,0.18148,"tensor(1.8013, device='cuda:0')",0.2655
7,1709.4418298006058,0.18858,"tensor(1.7148, device='cuda:0')",0.2826
8,1710.168859243393,0.19082,"tensor(1.5328, device='cuda:0')",0.3163
9,1702.9373137950897,0.1993,"tensor(1.6363, device='cuda:0')",0.3123
10,1702.7575761079788,0.20102,"tensor(1.4526, device='cuda:0')",0.2999
11,1693.5979853868484,0.20582,"tensor(1.6327, device='cuda:0')",0.3628
12,1686.547497868538,0.21458,"tensor(1.7858, device='cuda:0')",0.3403
13,1691.9628859758377,0.2156,"tensor(1.7500, device='cuda:0')",0.3216
14,1669.4683814048767,0.2261,"tensor(1.5721, device='cuda:0')",0.3955
15,1670.9283502101898,0.22658,"tensor(1.5063, device='cuda:0')",0.3578
16,1663.2157715559006,0.23326,"tensor(1.4273, device='cuda:0')",0.385
17,1663.7930883169174,0.23448,"tensor(1.4724, device='cuda:0')",0.4309
18,1652.0734723806381,0.23684,"tensor(1.4369, device='cuda:0')",0.3679
19,1645.0010569095612,0.24442,"tensor(1.6895, device='cuda:0')",0.3262
20,1649.8380645513535,0.24306,"tensor(1.4606, device='cuda:0')",0.3823
21,1640.394988656044,0.24818,"tensor(1.5410, device='cuda:0')",0.4345
22,1631.1590121984482,0.2552,"tensor(1.5881, device='cuda:0')",0.4086
23,1624.633625984192,0.26262,"tensor(1.4163, device='cuda:0')",0.4228
24,1642.9985237121582,0.24814,"tensor(1.4025, device='cuda:0')",0.4246
25,1634.2699410915375,0.25764,"tensor(1.6081, device='cuda:0')",0.4463
26,1615.6751781702042,0.27008,"tensor(1.4642, device='cuda:0')",0.453
27,1618.7007011175156,0.26428,"tensor(1.7870, device='cuda:0')",0.4021
28,1610.428303718567,0.27316,"tensor(1.3931, device='cuda:0')",0.4186
29,1622.525886774063,0.26502,"tensor(1.6832, device='cuda:0')",0.4537
30,1616.527452468872,0.266,"tensor(1.3016, device='cuda:0')",0.4337
31,1614.952615737915,0.2699,"tensor(1.7828, device='cuda:0')",0.4293
32,1604.4625860452652,0.27374,"tensor(1.5272, device='cuda:0')",0.4358
33,1600.5287430286407,0.27894,"tensor(1.5127, device='cuda:0')",0.4524
34,1592.8708904981613,0.28142,"tensor(1.5890, device='cuda:0')",0.4862
35,1604.3109829425812,0.27568,"tensor(1.5806, device='cuda:0')",0.4903
36,1605.592753648758,0.27358,"tensor(1.7440, device='cuda:0')",0.4771
37,1598.0188446044922,0.28522,"tensor(1.3978, device='cuda:0')",0.5017
38,1598.5859524011612,0.27842,"tensor(1.4408, device='cuda:0')",0.4564
39,1588.3058898448944,0.2862,"tensor(1.4731, device='cuda:0')",0.4818
40,1581.631739616394,0.29554,"tensor(1.6604, device='cuda:0')",0.4576
41,1576.8348188400269,0.29302,"tensor(1.3756, device='cuda:0')",0.4935
42,1585.961161017418,0.28604,"tensor(1.4608, device='cuda:0')",0.4603
43,1592.916688323021,0.2848,"tensor(1.4938, device='cuda:0')",0.5426
44,1569.4088221788406,0.30048,"tensor(1.5435, device='cuda:0')",0.4624
45,1578.3910697698593,0.28908,"tensor(1.3529, device='cuda:0')",0.4997
46,1585.944591999054,0.29496,"tensor(1.4892, device='cuda:0')",0.5094
47,1571.0683423280716,0.29866,"tensor(1.6087, device='cuda:0')",0.5079
48,1579.7880367040634,0.29178,"tensor(1.7958, device='cuda:0')",0.496
49,1578.5209169387817,0.29522,"tensor(1.5208, device='cuda:0')",0.4516
50,1579.5109803676605,0.29474,"tensor(1.2658, device='cuda:0')",0.5141
51,1563.8345539569855,0.30342,"tensor(1.0933, device='cuda:0')",0.4612
52,1551.2477033138275,0.31234,"tensor(1.3247, device='cuda:0')",0.4661
53,1578.6271806955338,0.29692,"tensor(1.3725, device='cuda:0')",0.5142
54,1581.6041464805603,0.29516,"tensor(1.5807, device='cuda:0')",0.4428
55,1561.5435386896133,0.30618,"tensor(1.2844, device='cuda:0')",0.5107
56,1566.698032259941,0.30284,"tensor(1.1821, device='cuda:0')",0.4937
57,1569.2206211090088,0.30214,"tensor(1.3525, device='cuda:0')",0.4517
58,1576.7085592746735,0.29692,"tensor(1.5065, device='cuda:0')",0.4818
59,1564.0559660196304,0.30682,"tensor(1.2630, device='cuda:0')",0.5308
60,1566.201005101204,0.30602,"tensor(1.1501, device='cuda:0')",0.4613
61,1575.051689863205,0.30172,"tensor(1.5274, device='cuda:0')",0.4503
