dataset,cifar10
model_type,resnet18
batch_size,64
epochs,250
lr,0.25
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
cutmix,True
cutshift,True
featuregroup,True
featureshift,True
featuremix,True
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,1918.4478874206543,0.10016,"tensor(2.3204, device='cuda:0')",0.0999
1,1806.8242383003235,0.10068,"tensor(2.2771, device='cuda:0')",0.0995
2,1806.3252911567688,0.1011,"tensor(2.3436, device='cuda:0')",0.1
3,1806.6593890190125,0.0997,"tensor(2.3983, device='cuda:0')",0.1
4,1806.146635055542,0.10168,"tensor(2.3004, device='cuda:0')",0.1
5,1806.1226394176483,0.09914,"tensor(2.3445, device='cuda:0')",0.1002
6,1806.723286151886,0.10088,"tensor(2.3193, device='cuda:0')",0.0984
7,1806.5576405525208,0.09774,"tensor(2.3249, device='cuda:0')",0.1001
8,1806.8473544120789,0.09664,"tensor(2.2984, device='cuda:0')",0.1
9,1806.4320080280304,0.09946,"tensor(2.2893, device='cuda:0')",0.1
10,1806.6297557353973,0.09978,"tensor(2.2957, device='cuda:0')",0.1
11,1806.769907951355,0.09966,"tensor(2.2952, device='cuda:0')",0.1
12,1807.1152946949005,0.09974,"tensor(2.2701, device='cuda:0')",0.1
13,1806.404480457306,0.10124,"tensor(2.3240, device='cuda:0')",0.1
14,1806.3515384197235,0.099,"tensor(2.3854, device='cuda:0')",0.1
15,1806.324800491333,0.1,"tensor(2.2552, device='cuda:0')",0.1
16,1806.0374982357025,0.10174,"tensor(2.3485, device='cuda:0')",0.1
17,1807.098325252533,0.09984,"tensor(2.3061, device='cuda:0')",0.1
18,1806.8275127410889,0.09898,"tensor(2.3312, device='cuda:0')",0.1
19,1806.6545884609222,0.0983,"tensor(2.2433, device='cuda:0')",0.1
