dataset,cifar10
model_type,resnet18
batch_size,128
epochs,200
lr,0.1
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
mixup,True
featuremixup,False
dropblock,False
cutmix,False
featurecutmix,False
cutshift,False
featureshift,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,838.5180847644806,0.21212,"tensor(1.3791, device='cuda:0')",0.3969
1,728.0276144742966,0.26756,"tensor(1.3110, device='cuda:0')",0.4946
2,688.2502975463867,0.30804,"tensor(0.9852, device='cuda:0')",0.54
3,637.5722768306732,0.35886,"tensor(0.9957, device='cuda:0')",0.6082
4,612.9166258573532,0.35522,"tensor(0.8571, device='cuda:0')",0.6527
5,578.8451752066612,0.3904,"tensor(0.8502, device='cuda:0')",0.7071
6,568.3848774433136,0.39704,"tensor(0.8554, device='cuda:0')",0.7153
7,537.5591298937798,0.41726,"tensor(0.6371, device='cuda:0')",0.7413
8,526.8688524961472,0.43502,"tensor(0.5228, device='cuda:0')",0.7801
9,507.5777175426483,0.43414,"tensor(0.6183, device='cuda:0')",0.7677
10,497.82898712158203,0.42296,"tensor(0.5155, device='cuda:0')",0.8123
11,484.0202266871929,0.43774,"tensor(0.5663, device='cuda:0')",0.8101
12,477.6674779355526,0.45234,"tensor(0.5145, device='cuda:0')",0.8082
13,480.6816402375698,0.46534,"tensor(0.3071, device='cuda:0')",0.8401
14,479.0492469370365,0.43174,"tensor(0.4271, device='cuda:0')",0.833
15,460.61590498685837,0.43032,"tensor(0.3824, device='cuda:0')",0.8375
16,464.7955737411976,0.48438,"tensor(0.4564, device='cuda:0')",0.8338
17,450.9129393696785,0.45988,"tensor(0.3150, device='cuda:0')",0.8573
18,446.289813041687,0.49784,"tensor(0.2716, device='cuda:0')",0.837
19,432.467122271657,0.45988,"tensor(0.5842, device='cuda:0')",0.8414
20,449.7120839357376,0.45374,"tensor(0.4090, device='cuda:0')",0.865
21,453.00756284594536,0.46088,"tensor(0.4302, device='cuda:0')",0.8656
22,444.2062615454197,0.49976,"tensor(0.4617, device='cuda:0')",0.8735
23,448.80615016818047,0.4803,"tensor(0.4313, device='cuda:0')",0.8734
24,427.27754397690296,0.47722,"tensor(0.6264, device='cuda:0')",0.8537
25,438.1842918097973,0.47478,"tensor(0.4804, device='cuda:0')",0.8728
26,415.8406682908535,0.49512,"tensor(0.4450, device='cuda:0')",0.8811
27,419.88049003481865,0.50456,"tensor(0.3926, device='cuda:0')",0.8944
28,425.52103292942047,0.4913,"tensor(0.5232, device='cuda:0')",0.8778
29,425.72851237654686,0.49678,"tensor(0.5237, device='cuda:0')",0.8872
30,410.4647868722677,0.49382,"tensor(0.2712, device='cuda:0')",0.887
31,415.9535571038723,0.50154,"tensor(0.3547, device='cuda:0')",0.8789
