dataset,cifar10
model_type,resnet50
batch_size,64
epochs,200
lr,0.1
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
mixup,False
featuremixup,False
dropblock,True
cutmix,False
featurecutmix,False
cutshift,False
featureshift,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,1572.378059744835,0.2672,"tensor(1.6381, device='cuda:0')",0.3634
1,1230.1606168746948,0.41904,"tensor(1.4040, device='cuda:0')",0.4559
2,1069.7191399335861,0.50136,"tensor(1.0275, device='cuda:0')",0.5325
3,900.8460762500763,0.58642,"tensor(0.7780, device='cuda:0')",0.6097
4,775.3125842213631,0.64882,"tensor(0.7603, device='cuda:0')",0.6782
5,664.4375922083855,0.70128,"tensor(0.9241, device='cuda:0')",0.6977
6,578.1418141126633,0.74212,"tensor(0.3977, device='cuda:0')",0.749
7,523.3369660079479,0.76542,"tensor(0.6771, device='cuda:0')",0.7841
8,479.6351652145386,0.78718,"tensor(0.9909, device='cuda:0')",0.7727
9,446.84488436579704,0.80014,"tensor(0.5931, device='cuda:0')",0.8164
10,423.51808500289917,0.81234,"tensor(0.4284, device='cuda:0')",0.8039
11,400.46685215830803,0.8221,"tensor(0.4859, device='cuda:0')",0.7387
12,383.32823276519775,0.82998,"tensor(0.4829, device='cuda:0')",0.7965
13,371.16607332229614,0.83646,"tensor(0.4700, device='cuda:0')",0.8276
14,353.9870476871729,0.84322,"tensor(0.4480, device='cuda:0')",0.827
15,346.1414456963539,0.84556,"tensor(0.4735, device='cuda:0')",0.8231
16,333.4171869456768,0.85156,"tensor(0.7040, device='cuda:0')",0.8208
17,326.8989192843437,0.8556,"tensor(0.2269, device='cuda:0')",0.8458
18,315.4895199686289,0.85792,"tensor(0.6010, device='cuda:0')",0.846
19,309.51053263247013,0.86142,"tensor(0.3106, device='cuda:0')",0.8423
20,303.9437661767006,0.86524,"tensor(0.5719, device='cuda:0')",0.8275
21,294.51277028024197,0.86934,"tensor(0.4566, device='cuda:0')",0.8547
22,287.94413405656815,0.87258,"tensor(0.5291, device='cuda:0')",0.8551
23,281.4750407859683,0.8741,"tensor(0.5549, device='cuda:0')",0.8562
24,277.7328324690461,0.87732,"tensor(0.1896, device='cuda:0')",0.8251
25,271.05153046548367,0.88076,"tensor(0.4398, device='cuda:0')",0.8612
26,266.295895203948,0.88342,"tensor(0.1981, device='cuda:0')",0.8595
27,262.4622384980321,0.88162,"tensor(0.3357, device='cuda:0')",0.841
28,260.01928639411926,0.88352,"tensor(0.4007, device='cuda:0')",0.8542
29,256.38317950069904,0.88652,"tensor(0.2712, device='cuda:0')",0.875
30,250.21459193527699,0.88756,"tensor(0.2923, device='cuda:0')",0.8583
31,246.1674216389656,0.89048,"tensor(0.3245, device='cuda:0')",0.8674
32,244.98562190681696,0.8916,"tensor(0.4630, device='cuda:0')",0.8705
33,238.12931535393,0.89372,"tensor(0.2523, device='cuda:0')",0.8315
34,236.19167928397655,0.89412,"tensor(0.2848, device='cuda:0')",0.8641
35,231.74879210442305,0.89788,"tensor(0.3894, device='cuda:0')",0.8805
36,232.0503281801939,0.89576,"tensor(0.4879, device='cuda:0')",0.8683
37,226.3830021470785,0.90032,"tensor(0.4266, device='cuda:0')",0.8705
38,225.17908105626702,0.90002,"tensor(0.2117, device='cuda:0')",0.8631
39,220.5530489385128,0.90216,"tensor(0.3211, device='cuda:0')",0.8487
40,219.66221367567778,0.9017,"tensor(0.4670, device='cuda:0')",0.8668
41,223.29407075047493,0.90014,"tensor(0.4010, device='cuda:0')",0.8805
42,218.25465205311775,0.90332,"tensor(0.1097, device='cuda:0')",0.8723
43,211.72232961654663,0.90554,"tensor(0.3442, device='cuda:0')",0.8564
44,216.60790429264307,0.90452,"tensor(0.3202, device='cuda:0')",0.8747
45,211.2057679593563,0.90688,"tensor(0.1195, device='cuda:0')",0.8767
46,209.33365678787231,0.90718,"tensor(0.2292, device='cuda:0')",0.8809
47,212.5483037084341,0.90658,"tensor(0.2923, device='cuda:0')",0.8539
48,205.72443780303,0.9099,"tensor(0.1735, device='cuda:0')",0.8904
49,204.83415423333645,0.90882,"tensor(0.4547, device='cuda:0')",0.8749
50,201.70287282019854,0.91098,"tensor(0.2682, device='cuda:0')",0.8803
51,200.8716594427824,0.91012,"tensor(0.5614, device='cuda:0')",0.8546
52,203.87861168384552,0.90914,"tensor(0.6042, device='cuda:0')",0.8702
53,200.30804077535868,0.91066,"tensor(0.0737, device='cuda:0')",0.8673
54,195.2079572826624,0.91338,"tensor(0.5565, device='cuda:0')",0.8717
55,196.4454606845975,0.91272,"tensor(0.3668, device='cuda:0')",0.8442
56,196.49122513085604,0.91306,"tensor(0.1531, device='cuda:0')",0.889
57,192.060606084764,0.91432,"tensor(0.4200, device='cuda:0')",0.8836
58,194.9367874711752,0.91356,"tensor(0.6365, device='cuda:0')",0.8224
59,193.67343141883612,0.91334,"tensor(0.6745, device='cuda:0')",0.8904
60,189.6587876304984,0.9156,"tensor(0.0826, device='cuda:0')",0.8832
61,186.32653031498194,0.91808,"tensor(0.1804, device='cuda:0')",0.8791
62,188.07818698883057,0.91602,"tensor(0.7448, device='cuda:0')",0.8647
63,186.75720680505037,0.91738,"tensor(0.4651, device='cuda:0')",0.8792
64,189.46832992881536,0.91614,"tensor(0.7591, device='cuda:0')",0.8617
65,187.63435892388225,0.91756,"tensor(0.3865, device='cuda:0')",0.8851
66,185.68011804670095,0.91736,"tensor(0.4254, device='cuda:0')",0.8863
67,183.373374260962,0.91776,"tensor(0.4369, device='cuda:0')",0.8863
68,184.06874416396022,0.9173,"tensor(0.3531, device='cuda:0')",0.8891
69,182.91485853865743,0.91848,"tensor(0.2839, device='cuda:0')",0.8753
70,182.6422411724925,0.91794,"tensor(0.3687, device='cuda:0')",0.8807
71,181.5488060414791,0.91886,"tensor(0.3258, device='cuda:0')",0.87
72,181.94572018831968,0.9184,"tensor(0.2879, device='cuda:0')",0.8862
73,180.47802943736315,0.92014,"tensor(0.4008, device='cuda:0')",0.8919
74,181.01888173818588,0.9187,"tensor(0.3642, device='cuda:0')",0.8637
75,181.30291648209095,0.9191,"tensor(0.2683, device='cuda:0')",0.8937
76,176.21611972525716,0.92282,"tensor(0.1487, device='cuda:0')",0.8916
77,174.8922922797501,0.92228,"tensor(0.2130, device='cuda:0')",0.8853
78,176.89282850921154,0.92084,"tensor(0.1845, device='cuda:0')",0.8792
79,175.65124306827784,0.92156,"tensor(0.0847, device='cuda:0')",0.8801
80,175.1925164759159,0.92238,"tensor(0.2786, device='cuda:0')",0.883
81,174.16878851503134,0.9231,"tensor(0.0280, device='cuda:0')",0.8878
82,176.34725015982985,0.92224,"tensor(0.2775, device='cuda:0')",0.8871
83,173.66161726787686,0.92184,"tensor(0.1549, device='cuda:0')",0.8885
84,170.21965695172548,0.92398,"tensor(0.1581, device='cuda:0')",0.8795
85,171.82338725030422,0.92346,"tensor(0.4678, device='cuda:0')",0.8849
86,170.92412031441927,0.92504,"tensor(0.4505, device='cuda:0')",0.8829
87,168.77776081115007,0.92518,"tensor(0.0999, device='cuda:0')",0.8776
88,170.94523314014077,0.92294,"tensor(0.5067, device='cuda:0')",0.8905
89,172.1301894262433,0.92508,"tensor(0.3278, device='cuda:0')",0.8812
90,170.66137920692563,0.92504,"tensor(0.7399, device='cuda:0')",0.8672
91,166.9453828111291,0.92634,"tensor(0.3120, device='cuda:0')",0.8801
92,168.46619787067175,0.92502,"tensor(0.3679, device='cuda:0')",0.8894
93,168.54535414651036,0.92544,"tensor(0.1690, device='cuda:0')",0.8719
94,168.3988068625331,0.92466,"tensor(0.2500, device='cuda:0')",0.8847
95,168.20735581591725,0.92542,"tensor(0.1518, device='cuda:0')",0.8705
96,168.50397729873657,0.9242,"tensor(0.1462, device='cuda:0')",0.8891
97,165.27860921248794,0.92684,"tensor(0.6055, device='cuda:0')",0.8449
98,169.20051230862737,0.92466,"tensor(0.4538, device='cuda:0')",0.8752
99,162.10006531327963,0.92764,"tensor(0.3636, device='cuda:0')",0.8908
100,79.16667805984616,0.96568,"tensor(0.1098, device='cuda:0')",0.9339
101,53.682975478470325,0.9774,"tensor(0.1224, device='cuda:0')",0.9367
102,44.1546480730176,0.98062,"tensor(0.1364, device='cuda:0')",0.9399
103,36.2708797454834,0.9843,"tensor(0.1884, device='cuda:0')",0.9381
104,33.2846324108541,0.98568,"tensor(0.2874, device='cuda:0')",0.9413
105,29.09137885272503,0.98756,"tensor(0.3066, device='cuda:0')",0.9433
106,25.33038317412138,0.98916,"tensor(0.1900, device='cuda:0')",0.9418
107,22.861192245036364,0.98956,"tensor(0.2086, device='cuda:0')",0.9407
108,21.41579432040453,0.99046,"tensor(0.1801, device='cuda:0')",0.9417
109,20.72163761034608,0.99122,"tensor(0.3958, device='cuda:0')",0.9428
110,17.06824729591608,0.99362,"tensor(0.3100, device='cuda:0')",0.9433
111,16.69516196101904,0.99336,"tensor(0.4701, device='cuda:0')",0.9429
112,14.869698885828257,0.99418,"tensor(0.5558, device='cuda:0')",0.9444
113,15.854677855968475,0.9931,"tensor(0.4748, device='cuda:0')",0.943
