dataset,cifar10
model_type,wideresnet
batch_size,64
epochs,200
lr,0.1
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
mixup,True
featuremixup,False
dropblock,False
cutmix,False
featurecutmix,False
cutshift,False
featureshift,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,1523.305474638939,0.23926,"tensor(1.3174, device='cuda:0')",0.4057
1,1303.7410229444504,0.33514,"tensor(1.2057, device='cuda:0')",0.6306
2,1207.6362470388412,0.3629,"tensor(1.0590, device='cuda:0')",0.6731
3,1132.2567614912987,0.41166,"tensor(0.6535, device='cuda:0')",0.6767
4,1091.5948417782784,0.40438,"tensor(0.6967, device='cuda:0')",0.7027
5,1043.6380287408829,0.43528,"tensor(0.5710, device='cuda:0')",0.7685
6,1024.6152198910713,0.44432,"tensor(0.6633, device='cuda:0')",0.7976
7,990.4077483415604,0.44952,"tensor(0.2957, device='cuda:0')",0.7847
8,981.3647168874741,0.45488,"tensor(0.5964, device='cuda:0')",0.8229
9,969.405685544014,0.4601,"tensor(0.5049, device='cuda:0')",0.8292
10,944.7789694666862,0.4615,"tensor(0.5774, device='cuda:0')",0.8438
11,925.5272093713284,0.4681,"tensor(0.4403, device='cuda:0')",0.8319
12,935.2971186935902,0.46816,"tensor(0.5284, device='cuda:0')",0.8506
13,904.1553456187248,0.4677,"tensor(0.4040, device='cuda:0')",0.8466
14,917.7206872105598,0.4792,"tensor(0.3367, device='cuda:0')",0.8513
15,899.1322458386421,0.48152,"tensor(0.3444, device='cuda:0')",0.8197
16,892.1815375387669,0.49434,"tensor(0.2225, device='cuda:0')",0.8711
17,911.107899159193,0.47044,"tensor(0.3623, device='cuda:0')",0.871
18,881.5063771903515,0.48044,"tensor(0.3901, device='cuda:0')",0.8811
19,873.0557572096586,0.46688,"tensor(0.4989, device='cuda:0')",0.8753
20,873.4437719583511,0.49166,"tensor(0.3892, device='cuda:0')",0.8813
21,871.7268785536289,0.48806,"tensor(0.2988, device='cuda:0')",0.8881
22,867.6525690108538,0.47606,"tensor(0.1885, device='cuda:0')",0.8922
23,861.3985185921192,0.4847,"tensor(0.2912, device='cuda:0')",0.8756
24,855.4908004552126,0.4795,"tensor(0.4065, device='cuda:0')",0.8484
25,849.6135111451149,0.50514,"tensor(0.4113, device='cuda:0')",0.8777
26,855.8985807597637,0.49106,"tensor(0.3509, device='cuda:0')",0.8846
27,856.1431708186865,0.50534,"tensor(0.3165, device='cuda:0')",0.8257
28,851.031705006957,0.49646,"tensor(0.2108, device='cuda:0')",0.8833
29,851.89573328197,0.49908,"tensor(0.4220, device='cuda:0')",0.8964
30,833.7217120677233,0.50132,"tensor(0.2189, device='cuda:0')",0.9091
31,839.7108078151941,0.4868,"tensor(0.3993, device='cuda:0')",0.8749
