dataset,cifar100
model_type,resnet18
batch_size,128
epochs,200
lr,0.1
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
mixup,True
featuremixup,False
dropblock,False
cutmix,False
featurecutmix,False
cutshift,False
featureshift,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,1657.221571445465,0.04896,"tensor(3.5095, device='cuda:0')",0.1319
1,1517.540137052536,0.09458,"tensor(3.2146, device='cuda:0')",0.2089
2,1418.8574905395508,0.11546,"tensor(2.5566, device='cuda:0')",0.2705
3,1332.468067407608,0.156,"tensor(2.3225, device='cuda:0')",0.3361
4,1264.9432022571564,0.18146,"tensor(2.1055, device='cuda:0')",0.3929
5,1202.9764020442963,0.17798,"tensor(1.7995, device='cuda:0')",0.4385
6,1155.5280767679214,0.2148,"tensor(1.8874, device='cuda:0')",0.4727
7,1125.189709663391,0.23602,"tensor(1.5921, device='cuda:0')",0.4658
8,1115.0694386959076,0.25274,"tensor(1.6278, device='cuda:0')",0.5161
9,1056.890903711319,0.27644,"tensor(1.7514, device='cuda:0')",0.5175
10,1025.2839016914368,0.28144,"tensor(1.5146, device='cuda:0')",0.5205
11,1012.8801473379135,0.24878,"tensor(1.3281, device='cuda:0')",0.566
12,1004.0507328510284,0.30218,"tensor(1.4135, device='cuda:0')",0.5815
13,986.7036510705948,0.29444,"tensor(1.6333, device='cuda:0')",0.5706
14,983.1842492818832,0.2956,"tensor(1.4067, device='cuda:0')",0.5899
15,972.7907863855362,0.30704,"tensor(1.3196, device='cuda:0')",0.5886
16,954.3571102619171,0.32616,"tensor(1.5127, device='cuda:0')",0.5921
17,944.7518516778946,0.3247,"tensor(1.2211, device='cuda:0')",0.6178
18,953.7004567980766,0.32472,"tensor(1.3078, device='cuda:0')",0.5997
19,906.1696217656136,0.32574,"tensor(1.3581, device='cuda:0')",0.6103
20,895.3382993340492,0.32674,"tensor(1.0566, device='cuda:0')",0.6416
21,903.5329310894012,0.32416,"tensor(1.0145, device='cuda:0')",0.6438
22,921.1224837303162,0.33396,"tensor(1.5699, device='cuda:0')",0.642
23,895.4390327334404,0.31664,"tensor(1.1115, device='cuda:0')",0.6403
24,903.2054612636566,0.33216,"tensor(1.3558, device='cuda:0')",0.649
25,869.1935852766037,0.33178,"tensor(1.4394, device='cuda:0')",0.6328
26,892.397460103035,0.36808,"tensor(1.2814, device='cuda:0')",0.6481
27,857.570375263691,0.3469,"tensor(1.4096, device='cuda:0')",0.6589
28,857.0692676305771,0.38004,"tensor(1.4492, device='cuda:0')",0.6654
29,862.5097941756248,0.36246,"tensor(1.3248, device='cuda:0')",0.6596
30,832.0581802129745,0.35682,"tensor(1.2370, device='cuda:0')",0.6552
31,850.9670894742012,0.38226,"tensor(1.3559, device='cuda:0')",0.6669
32,876.0190219283104,0.36406,"tensor(1.2402, device='cuda:0')",0.648
33,858.8480041027069,0.3504,"tensor(1.1714, device='cuda:0')",0.6594
34,832.2024413943291,0.35724,"tensor(1.1340, device='cuda:0')",0.6476
35,831.4905409216881,0.38126,"tensor(1.2863, device='cuda:0')",0.669
36,830.7105519771576,0.36126,"tensor(1.1678, device='cuda:0')",0.6733
37,830.443411886692,0.36948,"tensor(0.8154, device='cuda:0')",0.6803
38,813.5872936248779,0.36842,"tensor(1.2856, device='cuda:0')",0.6804
39,818.9362199902534,0.37694,"tensor(1.6419, device='cuda:0')",0.6476
40,807.7462787330151,0.37916,"tensor(1.4427, device='cuda:0')",0.6662
41,819.7739700973034,0.35262,"tensor(1.6776, device='cuda:0')",0.6534
42,824.3395087122917,0.39648,"tensor(1.4488, device='cuda:0')",0.6596
43,805.8747076690197,0.36274,"tensor(1.1633, device='cuda:0')",0.6593
44,833.7264080047607,0.39354,"tensor(1.3150, device='cuda:0')",0.647
45,824.0881950855255,0.37114,"tensor(1.4609, device='cuda:0')",0.6771
46,809.797630161047,0.41806,"tensor(1.2638, device='cuda:0')",0.6753
47,809.0593322515488,0.41708,"tensor(1.4549, device='cuda:0')",0.6794
48,795.5379768311977,0.37504,"tensor(1.3338, device='cuda:0')",0.687
49,780.9692181646824,0.35268,"tensor(1.0629, device='cuda:0')",0.6885
50,827.4690518677235,0.36444,"tensor(0.7905, device='cuda:0')",0.6814
51,809.1856042146683,0.38826,"tensor(1.5608, device='cuda:0')",0.6743
52,780.8427101969719,0.42066,"tensor(1.2745, device='cuda:0')",0.6842
53,779.8054476678371,0.3871,"tensor(0.8419, device='cuda:0')",0.6871
54,790.8686600923538,0.3814,"tensor(1.1257, device='cuda:0')",0.6687
55,782.7392404079437,0.41708,"tensor(1.0164, device='cuda:0')",0.6762
56,803.4628390967846,0.39966,"tensor(1.2552, device='cuda:0')",0.6825
57,799.6125844419003,0.38276,"tensor(1.4500, device='cuda:0')",0.6748
58,803.6744694709778,0.40644,"tensor(1.0830, device='cuda:0')",0.6722
59,782.9586892127991,0.38468,"tensor(1.2953, device='cuda:0')",0.6766
60,790.3779154121876,0.42118,"tensor(1.4008, device='cuda:0')",0.668
