dataset,cifar100
model_type,resnet34
batch_size,128
epochs,200
lr,0.1
momentum,0.9
seed,1
resume,False
lr_decay,0.0001
mixup,False
featuremixup,False
dropblock,True
cutmix,False
featurecutmix,False
cutshift,False
featureshift,False
beta,1.0
mix_prob,1.0
""
epoch,train_loss,train_acc,test_loss,test_acc
0,1674.1929032802582,0.04704,"tensor(3.9827, device='cuda:0')",0.0777
1,1458.1610555648804,0.11596,"tensor(3.5806, device='cuda:0')",0.1573
2,1319.356654882431,0.1792,"tensor(3.4031, device='cuda:0')",0.2119
3,1211.8446836471558,0.23026,"tensor(3.2295, device='cuda:0')",0.2763
4,1119.083236694336,0.27654,"tensor(2.8373, device='cuda:0')",0.29
5,1025.3466744422913,0.32644,"tensor(2.5698, device='cuda:0')",0.3088
6,941.2667957544327,0.37154,"tensor(2.0886, device='cuda:0')",0.3901
7,862.1054599285126,0.4146,"tensor(1.8667, device='cuda:0')",0.425
8,789.3617057800293,0.45634,"tensor(1.5363, device='cuda:0')",0.472
9,725.6150721311569,0.49206,"tensor(1.4967, device='cuda:0')",0.4964
10,668.5092053413391,0.52654,"tensor(1.4933, device='cuda:0')",0.5138
11,622.6023647785187,0.55668,"tensor(1.2151, device='cuda:0')",0.5401
12,579.5904208421707,0.5812,"tensor(1.5690, device='cuda:0')",0.5352
13,543.3887910842896,0.59972,"tensor(1.7425, device='cuda:0')",0.5589
14,508.33877581357956,0.62472,"tensor(1.2984, device='cuda:0')",0.5771
15,477.639796435833,0.64204,"tensor(1.2929, device='cuda:0')",0.5952
16,448.6418876647949,0.6662,"tensor(1.5635, device='cuda:0')",0.6076
17,426.1834744811058,0.67612,"tensor(1.4703, device='cuda:0')",0.6013
18,398.63931435346603,0.69684,"tensor(1.2032, device='cuda:0')",0.6195
19,379.7329025864601,0.7081,"tensor(1.3957, device='cuda:0')",0.5989
20,359.97903740406036,0.72146,"tensor(1.5803, device='cuda:0')",0.6182
21,340.7393909692764,0.73582,"tensor(1.3906, device='cuda:0')",0.6128
22,326.1646521091461,0.74464,"tensor(1.6049, device='cuda:0')",0.6229
23,305.31478130817413,0.76226,"tensor(1.1024, device='cuda:0')",0.6378
24,293.6781254708767,0.76794,"tensor(1.4951, device='cuda:0')",0.6228
25,278.34499257802963,0.7808,"tensor(1.5173, device='cuda:0')",0.6282
26,265.9393166899681,0.78784,"tensor(1.7103, device='cuda:0')",0.6231
27,258.47974091768265,0.7906,"tensor(1.1254, device='cuda:0')",0.6364
28,242.93742075562477,0.80454,"tensor(1.2670, device='cuda:0')",0.6368
29,233.4391340315342,0.81174,"tensor(0.9498, device='cuda:0')",0.6434
30,227.406376183033,0.81684,"tensor(1.0866, device='cuda:0')",0.6506
31,218.33434095978737,0.82238,"tensor(1.3476, device='cuda:0')",0.6251
32,210.65965503454208,0.82824,"tensor(1.6362, device='cuda:0')",0.6345
33,200.92042088508606,0.8352,"tensor(1.3552, device='cuda:0')",0.6519
34,199.0475424528122,0.83946,"tensor(0.7451, device='cuda:0')",0.6418
35,186.4845719486475,0.84802,"tensor(1.6400, device='cuda:0')",0.6279
36,185.59761211276054,0.84896,"tensor(1.0816, device='cuda:0')",0.6423
37,179.33686067163944,0.85218,"tensor(1.1565, device='cuda:0')",0.6456
38,169.9775802642107,0.86044,"tensor(1.4353, device='cuda:0')",0.6455
39,164.96449160575867,0.86362,"tensor(1.4001, device='cuda:0')",0.6452
40,168.0048742443323,0.86228,"tensor(1.8026, device='cuda:0')",0.6371
41,160.12364959716797,0.8675,"tensor(1.4823, device='cuda:0')",0.6412
42,158.71754032373428,0.86898,"tensor(1.5521, device='cuda:0')",0.6423
43,151.93989397585392,0.8769,"tensor(1.4886, device='cuda:0')",0.6533
44,150.95698535442352,0.87496,"tensor(0.9782, device='cuda:0')",0.6415
45,146.87856367230415,0.8786,"tensor(0.9190, device='cuda:0')",0.6561
46,146.4233651459217,0.8798,"tensor(1.8117, device='cuda:0')",0.6361
47,137.43640458583832,0.88642,"tensor(1.0995, device='cuda:0')",0.6386
48,141.6607057750225,0.88332,"tensor(1.8027, device='cuda:0')",0.6426
49,140.9814467728138,0.8841,"tensor(1.4432, device='cuda:0')",0.6376
50,139.58476009964943,0.88444,"tensor(1.7845, device='cuda:0')",0.642
51,134.27181121706963,0.88928,"tensor(1.8766, device='cuda:0')",0.6381
52,135.99077534675598,0.89026,"tensor(1.3790, device='cuda:0')",0.6416
53,129.627317532897,0.8942,"tensor(2.2754, device='cuda:0')",0.6399
54,127.49444521963596,0.89548,"tensor(1.3799, device='cuda:0')",0.6519
55,130.67212538421154,0.89144,"tensor(2.0990, device='cuda:0')",0.643
56,125.28672878444195,0.89628,"tensor(1.5348, device='cuda:0')",0.6462
57,125.84021763503551,0.89616,"tensor(1.6458, device='cuda:0')",0.6303
58,127.05562618374825,0.89526,"tensor(1.4232, device='cuda:0')",0.6429
59,125.47972066700459,0.89702,"tensor(1.2353, device='cuda:0')",0.65
60,121.92337366938591,0.9007,"tensor(1.2070, device='cuda:0')",0.6413
61,121.94873411953449,0.90028,"tensor(1.5462, device='cuda:0')",0.6457
62,122.83423986285925,0.89782,"tensor(1.4941, device='cuda:0')",0.6507
63,121.80362974107265,0.89888,"tensor(2.1699, device='cuda:0')",0.6385
64,115.86011665314436,0.90496,"tensor(1.1292, device='cuda:0')",0.6259
65,118.42397613078356,0.90244,"tensor(1.3447, device='cuda:0')",0.6462
66,117.34228429198265,0.90244,"tensor(1.4106, device='cuda:0')",0.64
67,118.95962864160538,0.90226,"tensor(1.4070, device='cuda:0')",0.6551
68,120.53486454486847,0.89962,"tensor(0.9472, device='cuda:0')",0.6617
69,114.84532316029072,0.9064,"tensor(1.3699, device='cuda:0')",0.6507
